code,predictweek,predicted_range,predicted_prob,type,weekly_returns,display_name,name,weights
002594.XSHE,2020-03-22,4,0.27492474711598314,Short,0.0564139417894357,比亚迪,BYD,0.48228
000100.XSHE,2020-03-22,4,0.263258607389408,Short,0.08630393996247654,TCL科技,TCLKJ,0.18039
002916.XSHE,2020-03-29,4,0.2783166876140268,Short,0.02217606860511856,深南电路,SNDL,0.57818
002371.XSHE,2020-03-29,4,0.2566926512864467,Short,0.1402472909141429,北方华创,BFHC,0.42182
002157.XSHE,2020-04-05,4,0.275492215573202,Short,-0.1116279069767443,正邦科技,ZBKJ,0.47741
002371.XSHE,2020-04-05,4,0.25408285387469476,Short,-0.006382806819100084,北方华创,BFHC,0.52259
002007.XSHE,2020-04-12,0,0.2541011738377805,Long,-0.0101495726495725,华兰生物,HLSW,0.5
002157.XSHE,2020-04-12,4,0.2503757411391204,Short,-0.1365062761506275,正邦科技,ZBKJ,0.5
002007.XSHE,2020-04-19,0,0.2530992879119285,Long,0.004047490555855404,华兰生物,HLSW,1.0
002157.XSHE,2020-04-26,4,0.28139052844170076,Short,-0.06974190005491487,正邦科技,ZBKJ,1.0
603019.XSHG,2020-05-17,0,0.25417221339516394,Long,-0.01542983100661266,中科曙光,ZKSG,1.0
